"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Disease Spread!15!0xcc3333ff","Infection Rate: Transmissible Cases!15!0xe64d4dff","Pop Concentration: Pop Mobility!15!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Social Distancing!15!0x4258c9ff","Intervention: Testing!5!0x6079f7ff","Healthcare: Age Distribution!10!0x9a42c8ff","Healthcare: Co-morbidities!10!0xb460e0ff","Healthcare: Health Disparities!10!0xc885ecff","Healthcare: Hospital Beds!5!0xdeb9f1ff"
"0.7189764587463956","2","7","Tennessee, Rhea","-84.9308,35.6054","0.96969696969697","0.8167663903879627","0.5763011707607321","0.5005","1.0","0.4718427515756387","0.5775976316230177","0.6690301964471835","0.5819910078720117","0.5991080764236459"
"0.7166004553253142","2","7","Texas, Camp","-94.9779,32.972","0.824324324324324","0.7933664120357687","0.5638528280482988","0.6291","1.0","0.8825456225205842","0.579673914473061","0.471630775515636","0.7464492499328962","0.4843258215679669"
"0.7150719598741937","8","1","Virginia, Petersburg City","-77.3937,37.2053","0.491071428571429","0.6864466611157287","0.7585121005887018","0.8898","1.0","0.8125980612418828","0.5449798764246452","0.7279090511209542","0.7493123187993811","0.2868919924728384"
"0.7150066246477502","2","7","Texas, Titus","-94.968,33.2134","0.832957110609481","0.8874895701380691","0.578991225824858","0.596","1.0","0.8825456225205842","0.47793802351369025","0.4159934118192891","0.8012115258872516","0.36700047757223697"
"0.7148747863957545","2","7","Virginia, Martinsville City","-79.8635,36.6821","0.903225806451613","0.7102075029419138","0.6963575378099248","0.5597","1.0","0.8125980612418828","0.6037268925796017","0.5694794854292896","0.6531813443731692","0.21309925309024086"
"0.711900392931575","8","1","Arkansas, St. Francis","-90.7483,35.022","0.521212121212121","0.9081631851636708","0.509142944524598","0.9908","1.0","0.7380063454457703","0.5166605513962695","0.7096658631098235","0.6493049627350989","0.37538479186532797"
"0.7108470557636134","8","1","Georgia, Colquitt","-83.7678,31.1881","0.477223427331887","0.7966671616527962","0.5758263324986739","0.9491","1.0","0.6940822896853922","0.504194780386106","0.6409488235246864","0.868943574554564","0.46902781573331914"
"0.7087304509306923","8","1","Texas, Walker","-95.5744,30.7387","0.569620253164557","0.8342506056579649","0.5955482555154494","0.9895","1.0","0.8825456225205842","0.43472072581226856","0.4982547919353885","0.6834372714814764","0.4994413764824666"
"0.7052465720392975","8","1","Virginia, Galax City","-80.917,36.666","0.392523364485981","0.829547935599886","0.7034837461964067","0.9188","1.0","0.8125980612418828","0.6661358670949733","0.5428553928775343","0.7434883275114161","0.1836022098079947"
"0.6921814508374988","2","4","Iowa, Buena Vista","-95.151,42.7355","0.894586894586895","1.0","0.6138054111437913","0.7052","0.75","0.6428491101530872","0.4965101409658336","0.34053564542801873","0.6153027276167025","0.49486886305872185"
"0.6880750113802017","8","9","Arizona, Yuma","-113.9067,32.769","0.69551282051282","0.7476985211636388","0.5401861281391742","0.9796","0.75","0.9191229417608624","0.579673914473061","0.39899673232321287","0.8027018321202931","0.4963899413235429"
"0.6870409814269243","8","1","Texas, Potter","-101.894,35.4013","0.372903795233892","0.837879136756657","0.6549458485849775","0.985","1.0","0.8825456225205842","0.42544161229202965","0.4586184757846079","0.7861039769031515","0.32484149718559024"
"0.6838135359187337","8","1","Virginia, Winchester City","-78.1733,39.1705","0.553571428571429","0.7558379136035995","0.7928063845128686","0.836","1.0","0.8125980612418828","0.526341402378779","0.3936653317092328","0.5894526823935285","0.23373371594348977"
"0.682772511317293","2","7","Virginia, Henry","-79.8763,36.6854","0.705263157894737","0.6559957441750462","0.5854269665777277","0.7956","1.0","0.8125980612418828","0.6726459331898672","0.5791496905011402","0.6367741672070064","0.0"
"0.6817726830574322","8","1","North Carolina, Vance","-78.4067,36.3688","0.410774410774411","0.7352956793103342","0.6149459266384973","0.9172","1.0","0.7695134014242013","0.5670390838965326","0.5465462294619065","0.7111430394797327","0.4625808699932369"
"0.6802908749011758","4","4","Louisiana, Madison","-91.2397,32.3692","0.772151898734177","0.8101437904962108","0.5064099948546424","0.9917","0.675","0.3531197380291849","0.47245716285929296","0.7469464915042533","0.7173798397980466","0.4651954692184066"
"0.679009519000601","8","9","North Carolina, Duplin","-77.9314,34.9345","0.59005376344086","0.8437893528270509","0.5179321021977036","0.767","0.75","0.7695134014242013","0.5648909983668218","0.6164836505218373","0.8342778445998603","0.49806537421513747"
"0.6788390459563463","8","9","Florida, DeSoto","-81.8094,27.1868","0.560606060606061","0.6999496475508841","0.5745408500659585","0.9643","0.825","0.6494008645265179","0.6424111072462477","0.4712043318334235","0.8086414917655125","0.5316546101540222"
"0.6780464256452123","8","1","North Carolina, Scotland","-79.4758,34.8386","0.41025641025641","0.6172647357488142","0.5942342207762943","0.9965","1.0","0.7695134014242013","0.5561726637917245","0.6795551082632632","0.6940635879335657","0.42965914244880454"
"0.6770748421367504","8","1","Alabama, Montgomery","-86.2097,32.2207","0.511356262167424","0.7616230453218069","0.6824234818292259","0.7463","1.0","0.6950307714840999","0.49129758316188105","0.5941189974957568","0.6416548263580996","0.3876645735375624"
"0.6764517872758492","8","1","Arkansas, Jefferson","-91.9262,34.2677","0.41747572815534","0.7507427782609332","0.5798570622038836","0.9812","1.0","0.7380063454457703","0.542700408721451","0.6610556319693164","0.6052734201360284","0.31924734710885416"
"0.6758410057614838","8","1","Mississippi, Neshoba","-89.1173,32.7534","0.398981324278438","0.8522920252652818","0.5404065469824364","0.8316","1.0","0.5384875682489052","0.5215324091055006","0.7069003849568803","0.6659283894387374","0.5030525019230301"
"0.6752597185539113","2","7","Kentucky, Carroll","-85.126,38.666","0.8","0.5945335113264046","0.5332846966102249","0.8621","1.0","0.6078900563919354","0.5117241638959221","0.5764175768593354","0.5517342283808211","0.4604171897120691"
"0.6741769128407501","8","9","Florida, Jackson","-85.215,30.7955","0.564315352697095","0.7383716905166394","0.5174167887720768","0.9784","0.825","0.6494008645265179","0.5898852876912913","0.6210781461367947","0.6881760941207999","0.49210066611477965"
"0.6738653869139144","8","1","Virginia, Emporia City","-77.5341,36.6946","0.342105263157895","0.8021692929950814","0.7057924439353598","0.8656","1.0","0.8125980612418828","0.542700408721451","0.4804167038031104","0.7296156256102528","0.22557397432959575"
"0.6724561823335488","8","1","Florida, Okeechobee","-80.8894,27.3863","0.529411764705882","0.6108920994565964","0.572663887205546","0.8704","1.0","0.6494008645265179","0.6037268925796017","0.4967894066381892","0.8038017469928146","0.4562958002862688"
"0.6718701599385475","2","4","Kentucky, Bell","-83.6777,36.7336","1.0","0.27150358541169095","0.5668218768439295","0.9039","1.0","0.6078900563919354","0.5817386943120182","0.7608516367513433","0.4295705430795587","0.30615532720340694"
"0.671399308165512","2","4","Arkansas, Yell","-93.4117,35.0029","0.921052631578947","0.7977908772525993","0.5180083522710432","0.5521","0.75","0.7380063454457703","0.558371441896005","0.5895183060527127","0.6315672158882124","0.4091089232138637"
"0.6713050076342874","8","1","North Carolina, Craven","-77.084,35.1183","0.588541666666667","0.6364899559339304","0.6083961503098304","0.9054","1.0","0.7695134014242013","0.579673914473061","0.4692139200951276","0.5883323103318097","0.41367315799884097"
"0.6711667102395354","8","1","Minnesota, Ramsey","-93.0987,45.0163","0.567457375833951","0.7371010512193724","0.7942994905629285","0.944","1.0","0.7098151216756459","0.47793802351369025","0.2872956637089512","0.46473670702500725","0.41133796225008046"
"0.6702581034874411","8","1","North Carolina, Robeson","-79.1025,34.6424","0.295793758480326","0.6807935769215857","0.5853089601519642","0.9698","1.0","0.7695134014242013","0.49129758316188105","0.6757662527478241","0.8020373996628143","0.41267351749283776"
"0.6691398443804117","8","1","North Carolina, Richmond","-79.7449,35.0042","0.364197530864198","0.6559524905125355","0.5893251167144115","0.9102","1.0","0.7695134014242013","0.558371441896005","0.6428253478666207","0.7473786882287713","0.40558680468862746"
