# Infection Rate: Transmissible Cases!25!0xcc3333!log10(x),,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Infection Rate: Disease Spread!5!0xe64d4d!linear(x),,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pop Concentration: Pop Mobility!10!0x57b757!log10(x),,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,
# Pop Concentration: Residential Density!10!0x5ced5c!linear(x),,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
# Intervention: Social Distancing!10!0x4258c9!linear(x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
# Intervention: Testing!10!0x6079f7!-log10(x),,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
# Health & Environment: Pop Demographics!10!0x6b0b9e!log10(x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
# Health & Environment: Air Pollution!10!0x8e26c4!linear(x),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
# Health & Environment: Age Distribution!10!0x9a42c8!log10(x),,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
# Health & Environment: Co-morbidities!10!0xb460e0!zscore(x),,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,x,,
# Health & Environment: Health Disparities!10!0xc885ec!uniform(x),,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,
# Health & Environment: Hospital Beds!5!0xdeb9f1!-log10(x),,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"row","sid","casrn","name","Spread","Sick","PctCases","Cases","CountyCaseRate","StateCaseRate","PctDeaths","Deaths","PctDeaths2","CountyDeathRate","StateDeathRate","StatePctTested","StateTestRate","SVISocioeconomic","SVIMinority","SVIHousing","PctBeds","Mobility","PctNoIns","PctGE65","DaytimePopDensity","PrematureDeath","Smoking","AirPollution","Diabetes","Traffic","DistancingGrade","Obesity","PctBlack","PctNative"
1,"-86.6441,32.5395",1001,"Alabama, Autauga",0.157060518731988,11.7623783744897,0.0748907393751911,4164,1.00980837495245,1.00924076560189,0.0115273775216138,48,0.000863293825650618,1.00609846529734,1.00572465389169,0.383398007025963,1.00381726822019,0.3631,0.5947,0.3741,0.00152874948292297,1733.08,7.1,14.6,76,8128.5911903,0.1808155718,11.7,0.111,88.457040416,5,0.333,0.1934317728,0.0048020719
2,"-87.7221,30.7277",1003,"Alabama, Baldwin",0.162783751493429,9.99899092752108,0.0614249938079643,13392,1.01197866062159,1.00924076560189,0.01194743130227,160,0.000733870893763015,1.00830486397886,1.00572465389169,0.383398007025963,1.00381726822019,0.2232,0.4358,0.3359,0.00152278210455826,1971.57,10.2,19.5,121,7354.1225298,0.174890326,10.3,0.107,86.997429882,5,0.31,0.0878397593,0.0077239912
3,"-85.3871,31.8683",1005,"Alabama, Barbour",0.131367292225201,7.87749688517343,0.0599654354728508,1492,1.01089643107495,1.00924076560189,0.0214477211796247,32,0.00128612194043648,1,1.00572465389169,0.383398007025963,1.00381726822019,0.978,0.8558,0.9889,0.00297415698725935,1080.54,11.2,18,27.5,10253.573403,0.2199998453,11.5,0.176,102.29176221,4,0.417,0.4803263534,0.0065913749
4,"-87.1251,32.9964",1007,"Alabama, Bibb",0.163456246560264,13.2589285714286,0.0811160714285714,1817,1.01100423089033,1.00924076560189,0.0253164556962025,46,0.00205357142857143,1.01308078292908,1.00572465389169,0.383398007025963,1.00381726822019,0.7694,0.4323,0.7189,0.0015625,1272.47,7.9,16.3,28.9,11977.539484,0.1911419989,11.2,0.145,29.335580011,4,0.376,0.2112053571,0.004375
5,"-86.5679,33.9821",1009,"Alabama, Blount",0.138307155322862,10.9612724757953,0.079253112033195,4584,1.00695201165995,1.00924076560189,0.0137434554973822,63,0.00108921161825726,1.01440033702014,1.00572465389169,0.383398007025963,1.00381726822019,0.6143,0.5915,0.1741,0.000691562932226833,1395.46,11,17.8,71.7,11335.071134,0.1920867197,11.7,0.17,33.411781963,5,0.338,0.014626556,0.0065352697
6,"-85.7127,32.1003",1011,"Alabama, Bullock",0.128841607565012,10.7516275399487,0.0834484119155652,846,1.01448150203558,1.00924076560189,0.0236406619385343,20,0.00197277569540343,1,1.00572465389169,0.383398007025963,1.00381726822019,0.9771,0.6749,0.765,0.00601696587098047,991.59,10.8,15.6,15.6,11679.558981,0.2289466401,11.2,0.237,4.0665381995,3,0.372,0.6954034326,0.0083842967
7,"-86.6806,31.753",1013,"Alabama, Butler",0.100468854655057,7.6219512195122,0.0758638211382114,1493,1.00688361238611,1.00924076560189,0.0301406563965171,45,0.00228658536585366,1,1.00572465389169,0.383398007025963,1.00381726822019,0.8455,0.6447,0.6259,0.00477642276422764,1042.91,10.2,19,25.1,14359.939103,0.2176533496,10.6,0.192,19.311067904,4,0.433,0.4455792683,0.0037601626
8,"-85.8263,33.7748",1015,"Alabama, Calhoun",0.143826898599915,11.8659047752391,0.0825012907234177,9428,1.00717149276831,1.00924076560189,0.0164403903266865,155,0.00135635342194842,1.00957286878737,1.00572465389169,0.383398007025963,1.00381726822019,0.7866,0.6507,0.6492,0.00483036831558406,1573.18,9.4,16.8,193.1,12078.616145,0.2061256037,11.8,0.175,109.89916308,5,0.385,0.2085021483,0.0053991617
9,"-85.3907,32.9136",1017,"Alabama, Chambers",0.106493506493506,7.31816153502901,0.0687193217313699,2310,1.00857357227659,1.00924076560189,0.0268398268398268,62,0.00184441469582032,1.00232563164892,1.00572465389169,0.383398007025963,1.00381726822019,0.6901,0.4597,0.7943,0.00342109177450543,1190.48,10.8,18.9,46.7,11112.536614,0.1939292705,11.4,0.199,20.271586909,4.3,0.401,0.3956567009,0.0030641083
10,"-85.6064,34.1781",1019,"Alabama, Cherokee",0.131860299358517,7.10663798401967,0.0538952059004302,1403,1.00777089811318,1.00924076560189,0.0156806842480399,22,0.000845113706207744,,1.00572465389169,0.383398007025963,1.00381726822019,0.6879,0.2751,0.2741,0.00230485556238476,1292.06,8.3,21.7,37,12349.707594,0.1749867379,11.4,0.152,25.908887044,4,0.35,0.0424093423,0.0066072526
