# Infection Rate: Transmissible Cases!25!0xcc3333!log10(x),,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Infection Rate: Disease Spread!5!0xe64d4d!linear(x),,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pop Concentration: Pop Mobility!10!0x57b757!log10(x),,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,
# Pop Concentration: Residential Density!10!0x5ced5c!linear(x),,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
# Intervention: Social Distancing!10!0x4258c9!linear(x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
# Intervention: Testing!10!0x6079f7!-log10(x),,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
# Health & Environment: Pop Demographics!10!0x6b0b9e!log10(x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x
# Health & Environment: Air Pollution!10!0x8e26c4!linear(x),,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
# Health & Environment: Age Distribution!10!0x9a42c8!log10(x),,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
# Health & Environment: Co-morbidities!10!0xb460e0!zscore(x),,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,x,,
# Health & Environment: Health Disparities!10!0xc885ec!uniform(x),,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,
# Health & Environment: Hospital Beds!5!0xdeb9f1!-log10(x),,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"row","sid","casrn","name","Spread","Sick","PctCases","Cases","CountyCaseRate","StateCaseRate","PctDeaths","Deaths","PctDeaths2","CountyDeathRate","StateDeathRate","StatePctTested","StateTestRate","SVISocioeconomic","SVIMinority","SVIHousing","PctBeds","Mobility","PctNoIns","PctGE65","DaytimePopDensity","PrematureDeath","Smoking","AirPollution","Diabetes","Traffic","DistancingGrade","Obesity","PctBlack","PctNative"
1,"-86.6441,32.5395",1001,"Alabama, Autauga",0.164914388705317,9.87392313087894,0.0598730238664772,3329,1.01291527489371,1.01295089856623,0.0123160108140583,41,0.000737396809409903,1,1.0075412914313,0.592863436862389,1.00627806219829,0.3631,0.5947,0.3741,0.00152874948292297,1733.08,7.1,14.6,76,8128.5911903,0.1808155718,11.7,0.111,88.457040416,4.3,0.333,0.1934317728,0.0048020719
2,"-87.7221,30.7277",1003,"Alabama, Baldwin",0.184253991558084,9.21007971672583,0.0499857812514333,10898,1.01497622731511,1.01295089856623,0.0129381537896862,141,0.000646723725128657,1.00307703942843,1.0075412914313,0.592863436862389,1.00627806219829,0.2232,0.4358,0.3359,0.00152278210455826,1971.57,8.9,19.5,121,7354.1225298,0.174890326,10.3,0.107,86.997429882,5,0.31,0.0878397593,0.0077239912
3,"-85.3871,31.8683",1005,"Alabama, Barbour",0.076078431372549,3.89855713194807,0.0512439210642659,1275,1.00584875104734,1.01295089856623,0.0235294117647059,30,0.0012057393191592,1.00485482547268,1.0075412914313,0.592863436862389,1.00627806219829,0.978,0.8558,0.9889,0.00297415698725935,1080.54,11.3,18,27.5,10253.573403,0.2199998453,11.5,0.176,102.29176221,3.7,0.417,0.4803263534,0.0065913749
4,"-87.1251,32.9964",1007,"Alabama, Bibb",0.178006872852234,11.5625,0.0649553571428571,1455,1.01633355221801,1.01295089856623,0.0268041237113402,39,0.00174107142857143,1,1.0075412914313,0.592863436862389,1.00627806219829,0.7694,0.4323,0.7189,0.0015625,1272.47,10.7,16.3,28.9,11977.539484,0.1911419989,11.2,0.145,29.335580011,4,0.376,0.2112053571,0.004375
5,"-86.5679,33.9821",1009,"Alabama, Blount",0.211937943728635,13.9349930843707,0.0657503457814661,3803,1.01941774055213,1.01295089856623,0.0123586642124638,47,0.000812586445366528,1.00307703942843,1.0075412914313,0.592863436862389,1.00627806219829,0.6143,0.5915,0.1741,0.000691562932226833,1395.46,10.8,17.8,71.7,11335.071134,0.1920867197,11.7,0.17,33.411781963,4.3,0.338,0.014626556,0.0065352697
6,"-85.7127,32.1003",1011,"Alabama, Bullock",0.0370879120879121,2.66324718879463,0.071809035312685,728,1.00277786339753,1.01295089856623,0.0274725274725275,20,0.00197277569540343,1,1.0075412914313,0.592863436862389,1.00627806219829,0.9771,0.6749,0.765,0.00601696587098047,991.59,11.4,15.6,15.6,11679.558981,0.2289466401,11.2,0.237,4.0665381995,3,0.372,0.6954034326,0.0083842967
7,"-86.6806,31.753",1013,"Alabama, Butler",0.115615615615616,7.82520325203252,0.0676829268292683,1332,1.00981205098219,1.01295089856623,0.033033033033033,44,0.00223577235772358,1.0066678482933,1.0075412914313,0.592863436862389,1.00627806219829,0.8455,0.6447,0.6259,0.00477642276422764,1042.91,8.7,19,25.1,14359.939103,0.2176533496,10.6,0.192,19.311067904,3.7,0.433,0.4455792683,0.0037601626
8,"-85.8263,33.7748",1015,"Alabama, Calhoun",0.183180894308943,12.6184621577395,0.0688852525005032,7872,1.01353421200839,1.01295089856623,0.0163871951219512,129,0.00112883607375062,1.00223468145885,1.0075412914313,0.592863436862389,1.00627806219829,0.7866,0.6507,0.6492,0.00483036831558406,1573.18,9.5,16.8,193.1,12078.616145,0.2061256037,11.8,0.175,109.89916308,5,0.385,0.2085021483,0.0053991617
9,"-85.3907,32.9136",1017,"Alabama, Chambers",0.120178041543027,7.2289156626506,0.0601517179830433,2022,1.00779731308139,1.01295089856623,0.0281899109792285,57,0.00169567157518965,1.00775379492937,1.0075412914313,0.592863436862389,1.00627806219829,0.6901,0.4597,0.7943,0.00342109177450543,1190.48,10.3,18.9,46.7,11112.536614,0.1939292705,11.4,0.199,20.271586909,4,0.401,0.3956567009,0.0030641083
10,"-85.6064,34.1781",1019,"Alabama, Cherokee",0.141196013289037,6.53042409342348,0.0462507682851875,1204,1.01168045153676,1.01295089856623,0.0199335548172757,24,0.000921942224953903,1,1.0075412914313,0.592863436862389,1.00627806219829,0.6879,0.2751,0.2741,0.00230485556238476,1292.06,8.6,21.7,37,12349.707594,0.1749867379,11.4,0.152,25.908887044,4,0.35,0.0424093423,0.0066072526
11,"-86.7173,32.8504",1021,"Alabama, Chilton",0.109283196239718,6.31893642561094,0.0578216655719883,2553,1.00832840618558,1.01295089856623,0.018018018018018,46,0.0010418318121079,1.0031447782897,1.0075412914313,0.592863436862389,1.00627806219829,0.7685,0.6966,0.3636,0.000588861459017507,1342.57,13,15.8,54.2,10019.3128,0.2018897906,11.2,0.186,28.80120495,4.3,0.377,0.0996761262,0.0056621294
12,"-88.2656,32.0223",1023,"Alabama, Choctaw",0.0615384615384615,2.1805155361732,0.0354333774628144,455,1.00447463046663,1.01295089856623,0.043956043956044,20,0.00155751109726657,1,1.0075412914313,0.592863436862389,1.00627806219829,0.9057,0.5896,0.5775,0.00194688887158321,1248.23,10.3,22.1,13.3,12479.822147,0.1879324829,10.1,0.174,17.189832601,3.7,0.413,0.415154583,0.0018690133
13,"-87.8355,31.681",1025,"Alabama, Clarke",0.220867869332033,18.938127090301,0.0857441471571906,2051,1.02900248474862,1.01295089856623,0.0117016089712335,24,0.00100334448160535,1.01250777270301,1.0075412914313,0.592863436862389,1.00627806219829,0.9436,0.4763,0.7345,0.00355351170568562,1278.77,9.7,19,21.2,11144.037371,0.2057965532,10.4,0.224,66.287632266,3.7,0.341,0.4432692308,0.0052675585
14,"-85.8584,33.2698",1027,"Alabama, Clay",0.0873015873015873,6.62900188323917,0.0759322033898305,1008,1.00535672196684,1.01295089856623,0.0277777777777778,28,0.00210922787193974,1.00520889711624,1.0075412914313,0.592863436862389,1.00627806219829,0.8162,0.4247,0.1579,0.00338983050847458,1075.36,10.3,19.8,20.5,10461.83432,0.1962035415,10.6,0.135,37.230490328,3.7,0.406,0.1383050847,0.0054237288
15,"-85.5201,33.6768",1029,"Alabama, Cleburne",0.122886133032694,7.27296990725295,0.0591846266764529,887,1.0102305794226,1.01295089856623,0.0169109357384442,15,0.00100086741842931,1.00990485606307,1.0075412914313,0.592863436862389,1.00627806219829,0.8694,0.3419,0.1,,1322.85,12.3,18.8,21.4,11087.984454,0.1837446577,11,0.125,41.333776458,4,0.373,0.0286915327,0.0049376126
16,"-85.989,31.3993",1031,"Alabama, Coffee",0.157448252460129,8.93871968252134,0.0567724286732551,2947,1.01376783800841,1.01295089856623,0.00848320325755005,25,0.000481612051859986,1.01198288474998,1.0075412914313,0.592863436862389,1.00627806219829,0.5373,0.7256,0.1923,0.00252364715174633,1638.25,9.8,16.3,70.3,8175.3623921,0.1744475759,10.9,0.161,58.321196812,4.3,0.342,0.1718777091,0.0141016009
17,"-87.8017,34.6985",1033,"Alabama, Colbert",0.151608751608752,10.7556334684635,0.0709433548811219,3885,1.01292477350502,1.01295089856623,0.0136422136422136,53,0.000967824403783646,1.01127330087083,1.0075412914313,0.592863436862389,1.00627806219829,0.6519,0.397,0.1025,0.00662868412402761,1335.96,7.2,19.3,92,10644.992124,0.1865882106,10.7,0.162,80.776854508,5,0.306,0.1599832,0.0066286841
18,"-86.9932,31.434",1035,"Alabama, Conecuh",0.119078104993598,7.57514050663843,0.0636148896310173,781,1.00773331504243,1.01295089856623,0.0192061459667093,15,0.00122179685590942,1,1.0075412914313,0.592863436862389,1.00627806219829,0.9529,0.4397,0.213,0.00472428117618311,953.55,12.7,21.6,14.3,10822.452428,0.2110751296,10.3,0.259,34.495784039,3.7,0.43,0.4566262116,0.0051315468
19,"-86.2485,32.9369",1037,"Alabama, Coosa",0.184331797235023,7.46616892207186,0.0405039664022398,434,1.01281111866028,1.01295089856623,0.00921658986175115,4,0.000373308446103593,1,1.0075412914313,0.592863436862389,1.00627806219829,0.693,0.5314,0.2913,,1034.43,8,21.8,12.3,12691.204176,0.2039996562,11,0.208,24.292868849,3,0.403,0.3047130191,0.0059729351
