# Infection Rate: Transmissible Cases!20!0xcc3333!log10(x),,,,,,x,,,,,,,,,,,,,,,,,,,
# Infection Rate: Disease Spread!5!0xe64d4d!log10(x),,,,,,,x,,,,,,,,,,,,,,,,,,
# Pop Concentration: Pop Mobility!10!0x57b757!log10(x),,,,,,,,x,x,,,,,,,,,,,,,,,,
# Pop Concentration: Residential Density!5!0x5ced5c!linear(x),,,,,,,,,,x,,,,,,,,,,,,,,,
# Intervention: Vaccines!15!0x4258c9!linear(x),,,,,,,,,,,x,,,,,,,,,,,,,,
# Intervention: Social Distancing!5!0x6079f7!linear(x),,,,,,,,,,,,x,,,,,,,,,,,,,
# Intervention: Testing!5!0x7d90f3!-log10(x),,,,,,,,,,,,,x,,,,,,,,,,,,
# Health & Environment: Hospital Beds!10!0x6b0b9e!linear(x),,,,,,,,,,,,,,x,,,,,,,,,,,
# Health & Environment: Hospital Ventilators!10!0x7e24ae!linear(x),,,,,,,,,,,,,,,x,,,,,,,,,,
# Health & Environment: Pop Demographics!3!0x933fbf!log10(x),,,,,,,,,,,,,,,,x,x,,,,,,,,
# Health & Environment: Air Pollution!3!0xa95ad2!linear(x),,,,,,,,,,,,,,,,,,x,,,,,,,
# Health & Environment: Age Distribution!3!0xc177e7!log10(x),,,,,,,,,,,,,,,,,,,x,,,,,,
# Health & Environment: Co-morbidities!3!0xdb95fe!zscore(x),,,,,,,,,,,,,,,,,,,,x,x,x,x,,
# Health & Environment: Health Disparities!3!0xe1a6ff!uniform(x),,,,,,,,,,,,,,,,,,,,,,,,x,x
"row","sid","casrn","name","Cases","Deaths","Sick","Spread","DaytimePopDensity","Traffic","SVIHousing","Vaccines","DistancingGrade","Testing","PctBeds","PctVentilators","PctBlack","PctNative","AirPollution","PctGE65","PrematureDeath","Smoking","Diabetes","Obesity","PctNoIns","SVISocioeconomic"
1,"-86.6441,32.5395",1001,"Alabama, Autauga",6727,103,2.69779320515818,0.0222982012784302,76,88.457040416,0.3741,0.886,5,732,0.63,0.12,0.1934317728,0.0048020719,11.7,14.6,8128.5911903,0.1808155718,0.111,0.333,7.1,0.3631
2,"-87.7221,30.7277",1003,"Alabama, Baldwin",20638,300,0.692590655988845,0.00731660044577963,121,86.997429882,0.3359,0.831,5,830,0.69,0.27,0.0878397593,0.0077239912,10.3,19.5,7354.1225298,0.174890326,0.107,0.31,8.9,0.2232
3,"-85.3871,31.8683",1005,"Alabama, Barbour",2249,55,0.924400144688718,0.010226767452201,27.5,102.29176221,0.9889,0.872,5,421,0.52,0,0.4803263534,0.0065913749,11.5,18,10253.573403,0.2199998453,0.176,0.417,11.3,0.978
4,"-87.1251,32.9964",1007,"Alabama, Bibb",2564,58,1.25,0.0109204368174727,28.9,29.335580011,0.7189,0.888,5,728,0.28,0.155,0.2112053571,0.004375,11.2,16.3,11977.539484,0.1911419989,0.145,0.376,10.7,0.7694
5,"-86.5679,33.9821",1009,"Alabama, Blount",6488,135,1.07192254495159,0.00955610357583231,71.7,33.411781963,0.1741,0.911,5,602,0.3,0,0.014626556,0.0065352697,11.7,17.8,11335.071134,0.1920867197,0.17,0.338,10.8,0.6143
6,"-85.7127,32.1003",1011,"Alabama, Bullock",1213,40,0.887749062931545,0.00741962077493817,15.6,4.0665381995,0.765,0.829,3,614,0.33,0.0875,0.6954034326,0.0083842967,11.2,15.6,11679.558981,0.2289466401,0.237,0.372,11.4,0.9771
7,"-86.6806,31.753",1013,"Alabama, Butler",2123,66,1.32113821138211,0.012246820536976,25.1,19.311067904,0.6259,0.869,5,766,0.25,0,0.4455792683,0.0037601626,10.6,19,14359.939103,0.2176533496,0.192,0.433,8.7,0.8455
8,"-85.8263,33.7748",1015,"Alabama, Calhoun",14286,311,0.700053379070154,0.00559988800223996,193.1,109.89916308,0.6492,0.842,5,510,0.8,0.43,0.2085021483,0.0053991617,11.8,16.8,12078.616145,0.2061256037,0.175,0.385,9.5,0.7866
9,"-85.3907,32.9136",1017,"Alabama, Chambers",3500,122,0.446229361892012,0.00428571428571429,46.7,20.271586909,0.7943,0.886,5,268,0.3,0.1187,0.3956567009,0.0030641083,11.4,18.9,11112.536614,0.1939292705,0.199,0.401,10.3,0.6901
10,"-85.6064,34.1781",1019,"Alabama, Cherokee",1820,44,0.614628149969269,0.00879120879120879,37,25.908887044,0.2741,0.855,5,160,0.3,0,0.0424093423,0.0066072526,11.4,21.7,12349.707594,0.1749867379,0.152,0.35,8.6,0.6879
